,City Name,Latitude,Longtitude,Humidity,Cloudiness,Country,Date,Max Temp,Wind Speed
0,kinkala,-4.35,14.75,88,92,CG,1553569200,297.15,1.11
1,bluff,-23.58,149.07,50,68,AU,1553571018,303.79,2.06
2,castro,-42.48,-73.76,76,0,CL,1553569200,283.15,4.1
3,ushuaia,-54.81,-68.31,70,75,AR,1553569200,280.15,5.7
5,mar del plata,-46.43,-67.52,100,68,AR,1553570865,281.79,2.71
6,marsabit,2.34,37.99,86,8,KE,1553570932,293.69,1.16
7,new norfolk,-42.78,147.06,38,75,AU,1553570954,289.15,9.3
8,ushuaia,-54.81,-68.31,70,75,AR,1553569200,280.15,5.7
9,punta arenas,-53.16,-70.91,65,40,CL,1553570546,281.15,5.7
11,rikitea,-23.12,-134.97,100,64,PF,1553570968,297.59,4.26
12,jamestown,-33.21,138.6,63,0,AU,1553570980,292.14,3.56
13,punta arenas,-53.16,-70.91,65,40,CL,1553570546,281.15,5.7
14,nikel,69.41,30.21,85,0,NO,1553568600,266.15,5.1
15,punta arenas,-53.16,-70.91,65,40,CL,1553570546,281.15,5.7
16,tupik,54.43,119.94,47,0,RU,1553570934,262.94,1.76
17,mataura,-46.19,168.86,87,88,NZ,1553570408,289.82,1.34
18,puerto ayora,-0.74,-90.35,91,0,EC,1553570133,298.71,1.79
19,nazarovo,56.01,90.42,95,0,RU,1553570934,270.49,1.56
20,denpasar,-8.65,115.22,79,20,ID,1553569200,303.15,1
21,rikitea,-23.12,-134.97,100,64,PF,1553570968,297.59,4.26
22,poum,41.28,20.71,81,24,MK,1553571385,271.94,0.76
23,nishihara,35.74,139.53,50,75,JP,1553570701,287.04,1
24,cape town,-33.93,18.42,72,0,ZA,1553570891,290.93,10.3
25,albany,42.65,-73.75,34,20,US,1553570715,273.15,4.6
26,atuona,-9.8,-139.03,100,8,PF,1553570971,301.29,6.46
27,san juan,-31.54,-68.53,88,36,AR,1553570894,287.64,2.26
28,east london,-33.02,27.91,88,75,ZA,1553569200,290.15,3.6
29,touros,-5.2,-35.46,94,20,BR,1553569200,298.15,2.1
30,mehran,33.12,46.17,87,40,IR,1553569200,280.15,2.1
31,mecca,21.43,39.83,34,64,SA,1553571422,291.74,2.21
32,ribeira grande,38.52,-28.7,97,88,PT,1553570840,289.29,4.01
33,atar,20.52,-13.05,59,0,MR,1553570848,286.14,2.51
34,salalah,17.01,54.1,74,40,OM,1553568600,299.15,3.1
35,provideniya,64.42,-173.23,93,90,RU,1553569200,275.15,15
36,bam,29.11,58.36,36,88,IR,1553570917,292.39,4.01
38,hilo,19.71,-155.08,60,75,US,1553570967,296.48,4.6
39,isla vista,34.41,-119.86,62,1,US,1553570915,287.04,2.1
